File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
Min,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,Conversation,.,40,34,3.05,3.35,.,.,.,93,202,.,.,0.47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,Conversation,.,266,242,8.48,9.23,.,.,.,411,1541,.,.,1.83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
SD,eng,SALT_Convo,.,8;0-8;6,.,TD,.,.,.,.,.,.,Conversation,.,58.23,55.66,1.11,1.23,.,.,.,79.93,360.39,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,Conversation,.,138.72,129.65,6.28,6.92,.,.,.,236.53,779.05,.,.,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Min,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,Conversation,.,33,32,3.95,4.33,.,.,.,105,201,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Max,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,Conversation,.,379,358,8.29,9.14,.,.,.,458,2209,.,.,1.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
SD,eng,SALT_Convo,.,8;6-9;0,.,TD,.,.,.,.,.,.,Conversation,.,87.14,81.4,1.01,1.11,.,.,.,91.37,462.69,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Mean,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,Conversation,.,142.94,133.08,6.19,6.84,.,.,.,239.08,797.54,.,.,1.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Min,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,Conversation,.,39,33,4.06,4.46,.,.,.,84,156,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,SALT_Convo,.,9;0-9;6,.,TD,.,.,.,.,.,.,Conversation,.,379,358,9.42,10.25,.,.,.,458,2209,.,.,1.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
