File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
Min,eng,ENNI,.,9;0-9;6,.,TD,.,.,.,.,.,.,pictures,.,51,51,6.38,6.83,.,.,.,112,390,.,.,1.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
Max,eng,ENNI,.,9;0-9;6,.,TD,.,.,.,.,.,.,pictures,.,152,152,10.24,11.12,.,.,.,321,1556,.,.,2.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
SD,eng,ENNI,.,9;0-9;6,.,TD,.,.,.,.,.,.,pictures,.,20.1,20.12,0.85,0.97,.,.,.,36.55,220.33,.,.,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
Mean,eng,ENNI,.,9;6-10;0,.,TD,.,.,.,.,.,.,pictures,.,78,77.92,8.08,8.97,.,.,.,166.69,640.62,.,.,1.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26
Min,eng,ENNI,.,9;6-10;0,.,TD,.,.,.,.,.,.,pictures,.,53,53,6.34,7.1,.,.,.,121,354,.,.,1.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26
Max,eng,ENNI,.,9;6-10;0,.,TD,.,.,.,.,.,.,pictures,.,161,161,10.25,11.76,.,.,.,255,1552,.,.,1.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26
SD,eng,ENNI,.,9;6-10;0,.,TD,.,.,.,.,.,.,pictures,.,26.37,26.37,1.06,1.2,.,.,.,33.19,274.72,.,.,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26
Mean,eng,Narr_SSS,.,5;2-5;6,.,TD,.,.,.,.,.,.,narrative,.,37.03,34.25,6.2,6.85,.,.,.,78.25,199.97,.,.,1.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Min,eng,Narr_SSS,.,5;2-5;6,.,TD,.,.,.,.,.,.,narrative,.,4,4,4.21,5.04,.,.,.,19,25,.,.,0.81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Max,eng,Narr_SSS,.,5;2-5;6,.,TD,.,.,.,.,.,.,narrative,.,136,125,8.71,9.5,.,.,.,217,717,.,.,1.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
SD,eng,Narr_SSS,.,5;2-5;6,.,TD,.,.,.,.,.,.,narrative,.,32.59,30.15,0.96,1,.,.,.,47.09,168.26,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Mean,eng,Narr_SSS,.,5;6-6;0,.,TD,.,.,.,.,.,.,narrative,.,36.04,33.38,6.47,7.1,.,.,.,75.87,209.04,.,.,1.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Min,eng,Narr_SSS,.,5;6-6;0,.,TD,.,.,.,.,.,.,narrative,.,5,4,4.09,4.39,.,.,.,23,29,.,.,0.81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Max,eng,Narr_SSS,.,5;6-6;0,.,TD,.,.,.,.,.,.,narrative,.,73,71,13.25,14.25,.,.,.,156,388,.,.,1.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
SD,eng,Narr_SSS,.,5;6-6;0,.,TD,.,.,.,.,.,.,narrative,.,15.86,15.09,1.54,1.61,.,.,.,25.67,92.31,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52
Mean,eng,Narr_SSS,.,6;0-6;6,.,TD,.,.,.,.,.,.,narrative,.,32.62,30.81,6.98,7.63,.,.,.,81.97,208.76,.,.,1.29,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Min,eng,Narr_SSS,.,6;0-6;6,.,TD,.,.,.,.,.,.,narrative,.,12,12,4.68,5.09,.,.,.,40,74,.,.,0.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Max,eng,Narr_SSS,.,6;0-6;6,.,TD,.,.,.,.,.,.,narrative,.,96,91,10.21,11.12,.,.,.,189,525,.,.,1.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
SD,eng,Narr_SSS,.,6;0-6;6,.,TD,.,.,.,.,.,.,narrative,.,17.55,16.59,1.33,1.45,.,.,.,31.05,103.35,.,.,0.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37
Mean,eng,Narr_SSS,.,6;6-7;0,.,TD,.,.,.,.,.,.,narrative,.,45.8,41.67,7.09,7.73,.,.,.,98.53,292.3,.,.,1.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
Min,eng,Narr_SSS,.,6;6-7;0,.,TD,.,.,.,.,.,.,narrative,.,17,15,4.37,4.47,.,.,.,44,83,.,.,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
Max,eng,Narr_SSS,.,6;6-7;0,.,TD,.,.,.,.,.,.,narrative,.,137,121,10.12,11.12,.,.,.,231,835,.,.,1.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
SD,eng,Narr_SSS,.,6;6-7;0,.,TD,.,.,.,.,.,.,narrative,.,23.76,21.59,1.19,1.31,.,.,.,37.86,148.84,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
Mean,eng,Narr_SSS,.,7;0-7;6,.,TD,.,.,.,.,.,.,narrative,.,48.58,45.42,7.16,7.85,.,.,.,108,322.84,.,.,1.38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62
Min,eng,Narr_SSS,.,7;0-7;6,.,TD,.,.,.,.,.,.,narrative,.,12,12,4.85,5.35,.,.,.,49,79,.,.,0.94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62
Max,eng,Narr_SSS,.,7;0-7;6,.,TD,.,.,.,.,.,.,narrative,.,158,143,10,10.87,.,.,.,217,995,.,.,2.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62
SD,eng,Narr_SSS,.,7;0-7;6,.,TD,.,.,.,.,.,.,narrative,.,26.76,24.39,1.04,1.13,.,.,.,39.74,163.95,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62
Mean,eng,Narr_SSS,.,7;6-8;0,.,TD,.,.,.,.,.,.,narrative,.,55.79,52.26,7.74,8.5,.,.,.,137.53,420.05,.,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Min,eng,Narr_SSS,.,7;6-8;0,.,TD,.,.,.,.,.,.,narrative,.,25,25,4.85,5.35,.,.,.,77,158,.,.,0.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Max,eng,Narr_SSS,.,7;6-8;0,.,TD,.,.,.,.,.,.,narrative,.,135,122,10,11.1,.,.,.,302,1136,.,.,2.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
SD,eng,Narr_SSS,.,7;6-8;0,.,TD,.,.,.,.,.,.,narrative,.,32.61,30.01,1.54,1.7,.,.,.,65.57,292.08,.,.,0.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Mean,eng,Narr_SSS,.,8;0-8;6,.,TD,.,.,.,.,.,.,narrative,.,77.78,70.53,8.04,8.86,.,.,.,166.06,557.03,.,.,1.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Min,eng,Narr_SSS,.,8;0-8;6,.,TD,.,.,.,.,.,.,narrative,.,19,18,5.05,5.53,.,.,.,67,171,.,.,0.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Max,eng,Narr_SSS,.,8;0-8;6,.,TD,.,.,.,.,.,.,narrative,.,196,179,11.56,13.07,.,.,.,329,1331,.,.,2.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
SD,eng,Narr_SSS,.,8;0-8;6,.,TD,.,.,.,.,.,.,narrative,.,51.03,44.95,1.44,1.59,.,.,.,77.26,353.69,.,.,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Mean,eng,Narr_SSS,.,8;6-9;0,.,TD,.,.,.,.,.,.,narrative,.,70.35,64.78,7.91,8.75,.,.,.,150,506.35,.,.,1.52,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Min,eng,Narr_SSS,.,8;6-9;0,.,TD,.,.,.,.,.,.,narrative,.,10,10,6.03,6.41,.,.,.,49,95,.,.,1.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Max,eng,Narr_SSS,.,8;6-9;0,.,TD,.,.,.,.,.,.,narrative,.,196,169,10.1,11.2,.,.,.,329,1331,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
SD,eng,Narr_SSS,.,8;6-9;0,.,TD,.,.,.,.,.,.,narrative,.,38.43,32.76,0.95,1.14,.,.,.,66.27,262.79,.,.,0.22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Mean,eng,Narr_SSS,.,9;0-9;5,.,TD,.,.,.,.,.,.,narrative,.,52,49.09,7.44,8.2,.,.,.,106.91,358.09,.,.,1.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Min,eng,Narr_SSS,.,9;0-9;5,.,TD,.,.,.,.,.,.,narrative,.,16,15,5.37,6.41,.,.,.,59,102,.,.,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Max,eng,Narr_SSS,.,9;0-9;5,.,TD,.,.,.,.,.,.,narrative,.,106,101,10.82,11.5,.,.,.,206,767,.,.,2.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
SD,eng,Narr_SSS,.,9;0-9;5,.,TD,.,.,.,.,.,.,narrative,.,25.82,24.11,1.24,1.36,.,.,.,36.23,176.93,.,.,0.27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22
Mean,eng,Narr_SSS,.,10;9-11;4,.,TD,.,.,.,.,.,.,narrative,.,52.44,48.89,8.37,9.42,.,.,.,139.52,436.63,.,.,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Min,eng,Narr_SSS,.,10;9-11;4,.,TD,.,.,.,.,.,.,narrative,.,11,11,5.96,6.92,.,.,.,40,68,.,.,1.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Max,eng,Narr_SSS,.,10;9-11;4,.,TD,.,.,.,.,.,.,narrative,.,205,191,10.95,12.33,.,.,.,492,1888,.,.,2.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
SD,eng,Narr_SSS,.,10;9-11;4,.,TD,.,.,.,.,.,.,narrative,.,48.08,44.42,1.45,1.68,.,.,.,104.1,445.31,.,.,0.32,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Mean,eng,Narr_SSS,.,12;9-13;3,.,TD,.,.,.,.,.,.,narrative,.,60.7,56.04,8.45,9.37,.,.,.,142.44,463.59,.,.,1.65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Min,eng,Narr_SSS,.,12;9-13;3,.,TD,.,.,.,.,.,.,narrative,.,12,12,4.92,5.46,.,.,.,44,64,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Max,eng,Narr_SSS,.,12;9-13;3,.,TD,.,.,.,.,.,.,narrative,.,198,189,15.31,17,.,.,.,322,1410,.,.,2.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
SD,eng,Narr_SSS,.,12;9-13;3,.,TD,.,.,.,.,.,.,narrative,.,52.76,49.02,1.96,2.16,.,.,.,76.19,399.21,.,.,0.34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
Mean,eng,SALT_toyplay,.,2;8-3;0,.,TD,.,.,.,.,.,.,toyplay,.,169,147,3.03,3.29,.,.,.,126.44,442,.,.,0.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Min,eng,SALT_toyplay,.,2;8-3;0,.,TD,.,.,.,.,.,.,toyplay,.,70,65,2.67,2.89,.,.,.,85,193,.,.,0.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Max,eng,SALT_toyplay,.,2;8-3;0,.,TD,.,.,.,.,.,.,toyplay,.,288,236,3.75,4.09,.,.,.,174,773,.,.,0.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
SD,eng,SALT_toyplay,.,2;8-3;0,.,TD,.,.,.,.,.,.,toyplay,.,83.34,68.95,0.35,0.39,.,.,.,30.23,204.3,.,.,0.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9
Mean,eng,SALT_toyplay,.,3;0-3;5,.,TD,.,.,.,.,.,.,toyplay,.,132.7,116.48,3.23,3.54,.,.,.,126.26,377.04,.,.,0.69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Min,eng,SALT_toyplay,.,3;0-3;5,.,TD,.,.,.,.,.,.,toyplay,.,46,39,2.64,2.88,.,.,.,71,120,.,.,0.48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Max,eng,SALT_toyplay,.,3;0-3;5,.,TD,.,.,.,.,.,.,toyplay,.,288,224,4.16,4.5,.,.,.,176,688,.,.,0.97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
SD,eng,SALT_toyplay,.,3;0-3;5,.,TD,.,.,.,.,.,.,toyplay,.,51.93,41.36,0.41,0.46,.,.,.,23.93,141.89,.,.,0.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23
Mean,eng,SALT_toyplay,.,3;9-4;0,.,TD,.,.,.,.,.,.,toyplay,.,182.43,159.71,3.39,3.74,.,.,.,158.71,546.21,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
Min,eng,SALT_toyplay,.,3;9-4;0,.,TD,.,.,.,.,.,.,toyplay,.,79,71,2.44,2.64,.,.,.,96,274,.,.,0.51,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
Max,eng,SALT_toyplay,.,3;9-4;0,.,TD,.,.,.,.,.,.,toyplay,.,269,228,4.17,4.57,.,.,.,228,851,.,.,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
SD,eng,SALT_toyplay,.,3;9-4;0,.,TD,.,.,.,.,.,.,toyplay,.,61.19,50.73,0.57,0.65,.,.,.,39.96,212.59,.,.,0.14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14
Mean,eng,SALT_toyplay,.,4;0-4;4,.,TD,.,.,.,.,.,.,toyplay,.,139.07,124.53,3.47,3.82,.,.,.,137.73,426.73,.,.,0.73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Min,eng,SALT_toyplay,.,4;0-4;4,.,TD,.,.,.,.,.,.,toyplay,.,65,64,2.18,2.42,.,.,.,82,166,.,.,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Max,eng,SALT_toyplay,.,4;0-4;4,.,TD,.,.,.,.,.,.,toyplay,.,272,244,4.89,5.71,.,.,.,200,725,.,.,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
SD,eng,SALT_toyplay,.,4;0-4;4,.,TD,.,.,.,.,.,.,toyplay,.,64.72,58.83,0.63,0.75,.,.,.,37.07,197.75,.,.,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Mean,eng,SALT_toyplay,.,5;4-5;8,.,TD,.,.,.,.,.,.,toyplay,.,132.8,120.67,4.54,4.97,.,.,.,152.73,561.47,.,.,1.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Min,eng,SALT_toyplay,.,5;4-5;8,.,TD,.,.,.,.,.,.,toyplay,.,46,42,3.39,3.69,.,.,.,79,150,.,.,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Max,eng,SALT_toyplay,.,5;4-5;8,.,TD,.,.,.,.,.,.,toyplay,.,255,236,6.03,6.56,.,.,.,294,1307,.,.,1.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
SD,eng,SALT_toyplay,.,5;4-5;8,.,TD,.,.,.,.,.,.,toyplay,.,60.26,54.95,0.8,0.85,.,.,.,51.52,298.17,.,.,0.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15
Mean,eng,Eng_FWAY,.,3;6-4;4,.,TD,.,.,.,.,.,.,retell,.,48.2,37.8,5.23,5.69,.,.,.,75,209.4,.,.,0.91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
Min,eng,Eng_FWAY,.,3;6-4;4,.,TD,.,.,.,.,.,.,retell,.,27,23,3.23,3.58,.,.,.,35,84,.,.,0.54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
Max,eng,Eng_FWAY,.,3;6-4;4,.,TD,.,.,.,.,.,.,retell,.,73,62,6.32,6.9,.,.,.,122,392,.,.,1.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
SD,eng,Eng_FWAY,.,3;6-4;4,.,TD,.,.,.,.,.,.,retell,.,19.69,16.39,1.33,1.43,.,.,.,35.09,126.46,.,.,0.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5
Mean,eng,Eng_FWAY,.,4;7-5;0,.,TD,.,.,.,.,.,.,retell,.,41.84,35.47,6.25,6.8,.,.,.,80.79,224.58,.,.,1.14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Min,eng,Eng_FWAY,.,4;7-5;0,.,TD,.,.,.,.,.,.,retell,.,28,23,4.84,5.11,.,.,.,57,136,.,.,0.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Max,eng,Eng_FWAY,.,4;7-5;0,.,TD,.,.,.,.,.,.,retell,.,89,70,8.58,9.23,.,.,.,126,502,.,.,1.45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
SD,eng,Eng_FWAY,.,4;7-5;0,.,TD,.,.,.,.,.,.,retell,.,17.41,12.91,1.03,1.15,.,.,.,18.81,102.89,.,.,0.19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Mean,eng,Eng_FWAY,.,5;0-5;6,.,TD,.,.,.,.,.,.,retell,.,39.29,34.06,6.56,7.23,.,.,.,85.12,223.74,.,.,1.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Min,eng,Eng_FWAY,.,5;0-5;6,.,TD,.,.,.,.,.,.,retell,.,26,20,4.84,5.11,.,.,.,57,125,.,.,0.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Max,eng,Eng_FWAY,.,5;0-5;6,.,TD,.,.,.,.,.,.,retell,.,76,57,8.85,9.77,.,.,.,117,345,.,.,1.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
SD,eng,Eng_FWAY,.,5;0-5;6,.,TD,.,.,.,.,.,.,retell,.,10.75,8.32,0.94,1.09,.,.,.,15.49,62.42,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34
Mean,eng,Eng_FWAY,.,5;6-6;0,.,TD,.,.,.,.,.,.,retell,.,38.47,35.36,6.84,7.58,.,.,.,90.19,241.72,.,.,1.26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47
Min,eng,Eng_FWAY,.,5;6-6;0,.,TD,.,.,.,.,.,.,retell,.,22,22,4.93,5.17,.,.,.,55,132,.,.,0.78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47
Max,eng,Eng_FWAY,.,5;6-6;0,.,TD,.,.,.,.,.,.,retell,.,60,56,8.85,9.77,.,.,.,136,368,.,.,1.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47
SD,eng,Eng_FWAY,.,5;6-6;0,.,TD,.,.,.,.,.,.,retell,.,9.11,7.5,0.85,0.96,.,.,.,17.31,57.23,.,.,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47
Mean,eng,Eng_FWAY,.,6;0-6;6,.,TD,.,.,.,.,.,.,retell,.,40.78,37.14,7.27,8.03,.,.,.,99.5,269.08,.,.,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Min,eng,Eng_FWAY,.,6;0-6;6,.,TD,.,.,.,.,.,.,retell,.,24,24,5.69,6.46,.,.,.,67,175,.,.,1.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Max,eng,Eng_FWAY,.,6;0-6;6,.,TD,.,.,.,.,.,.,retell,.,60,54,8.8,9.71,.,.,.,134,390,.,.,1.77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
SD,eng,Eng_FWAY,.,6;0-6;6,.,TD,.,.,.,.,.,.,retell,.,9.24,7.42,0.67,0.71,.,.,.,13.96,53.92,.,.,0.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36
Mean,eng,Eng_FWAY,.,6;6-7;0,.,TD,.,.,.,.,.,.,retell,.,40.88,38.12,7.6,8.35,.,.,.,100.53,290.26,.,.,1.34,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Min,eng,Eng_FWAY,.,6;6-7;0,.,TD,.,.,.,.,.,.,retell,.,18,12,5.69,6.46,.,.,.,47,95,.,.,1.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Max,eng,Eng_FWAY,.,6;6-7;0,.,TD,.,.,.,.,.,.,retell,.,82,77,9.55,10.23,.,.,.,150,588,.,.,1.69,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
SD,eng,Eng_FWAY,.,6;6-7;0,.,TD,.,.,.,.,.,.,retell,.,12.63,12.12,0.87,0.99,.,.,.,20.68,99.38,.,.,0.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43
Mean,eng,Eng_FWAY,.,7;0-7;5,.,TD,.,.,.,.,.,.,retell,.,43.24,41.47,8.18,8.96,.,.,.,113.65,335.24,.,.,1.49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17
Min,eng,Eng_FWAY,.,7;0-7;5,.,TD,.,.,.,.,.,.,retell,.,27,26,5.89,6.36,.,.,.,74,190,.,.,1.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17
Max,eng,Eng_FWAY,.,7;0-7;5,.,TD,.,.,.,.,.,.,retell,.,61,57,12.7,13.95,.,.,.,150,470,.,.,2.41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17
SD,eng,Eng_FWAY,.,7;0-7;5,.,TD,.,.,.,.,.,.,retell,.,8.61,8.47,1.79,1.97,.,.,.,20.43,78.75,.,.,0.31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17
Mean,eng,Tilstra,.,6;3,.,TD,.,.,.,.,.,.,pictures,.,.,9.31,6,.,.,.,.,.,57.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SD,eng,Tilstra,.,6;3,.,TD,.,.,.,.,.,.,pictures,.,.,3.02,1.33,.,.,.,.,.,24.92,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mean,eng,Tilstra,.,7;4,.,TD,.,.,.,.,.,.,pictures,.,.,9.89,6.33,.,.,.,.,.,59.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SD,eng,Tilstra,.,7;4,.,TD,.,.,.,.,.,.,pictures,.,.,4.42,1.3,.,.,.,.,.,27.67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mean,eng,Tilstra,.,9;1,.,TD,.,.,.,.,.,.,pictures,.,.,14.31,7.45,.,.,.,.,.,104.78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SD,eng,Tilstra,.,9;1,.,TD,.,.,.,.,.,.,pictures,.,.,7.81,1.05,.,.,.,.,.,54.98,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mean,eng,SUGAR,.,3;0-3;5,.,TD,.,.,.,.,.,.,narrative,.,.,.,.,.,.,5.27,4.24,.,192.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
